Muscle Group,Exercise Name,Equipment,Video Links,Difficulty,Force,Grips,Mechanic,Instructions
Biceps,Biceps Stretch Variation Two,Stretches,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-2-side.mp4#t=0.1",Novice,Hold,-,Isolation,"1. Stand facing the wall, an arm's width away. | 2. Place your hand on the wall with your fingers pointing down. | 3. Lean slightly into the wall to feel the stretch in your bicep."
Biceps,Biceps Stretch Variation One,Stretches,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-1-side.mp4#t=0.1",Novice,,-,,"1. Stand one foot in front of the other with the wall to your right, an arms width away. | 2. Place your hand on the wall, fingers pointing away from you. | 3. Gently lean forward, keeping your hand stationary. | 4. Repeat with the other arm."
Biceps,Cable Twisting Curl,Cables,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-side.mp4#t=0.1",Advanced,Pull,,Isolation,1. Use a handle attachment. The cable should be set all the way to the bottom of the machine. | 2. Face away from the cable machine. Stagger your stance so you have a better base of support. | 3. Start with a neutral grip. Flex at the elbow. While flexing twist your palm. When you hit the top of the movement your palm should be facing upward.
Biceps,Cable Single Arm Bayesian Curl,Cables,"https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-bayesian-curl-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-bayesian-curl-front.mp4#t=0.1",Beginner,Pull,Underhand: Supinated,Isolation,1. Use a handle attachment. The cable should be set all the way to the bottom of the machine. | 2. Face away from the cable machine. | 3. Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend.
Biceps,Cable Single Arm Reverse Curl,Cables,"https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-reverse-curl-side.mp4#t=0.1",Beginner,Pull,,Isolation,1. Use a handle attachment. The cable should be set all the way to the bottom of the machine. | 2. Face away from the cable machine. Stagger your stance so you have a better base of support. | 3. Face your palm downwards. Flex at the elbow and extend.
Biceps,Cable Single Arm Hammer Curl,Cables,"https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-hammer-curl-side.mp4#t=0.1",Beginner,Pull,Neutral,Isolation,1. Use a handle attachment. The cable should be set all the way to the bottom of the machine. | 2. Face away from the cable machine. Stagger your stance so you have a better base of support. | 3. Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend.
Biceps,Band Bayesian Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-curl-side.mp4#t=0.1",Beginner,Pull,,Isolation,1. Attach band to a low anchor point. Point your palms straight forward. | 2. Flex your elbow until you feel your biceps contract. Then fully extend elbows.
Biceps,Band Bayesian Hammer Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-hammer-curl-side.mp4#t=0.1",Intermediate,,,,1. Attach band to a low anchor point. Use a neutral grip. | 2. Flex your elbow until you feel your biceps contract. Then fully extend elbows.
Biceps,Band Bayesian Reverse Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Band-band-bayesian-reverse-curl-side.mp4#t=0.1",Beginner,Pull,Overhand: Pronated,Isolation,1. Attach band to a low anchor point. . Point your palms toward your thighs. | 2. Flex your elbow until you feel your biceps contract. Then fully extend elbows.
Biceps,Dumbbell Reverse Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-reverse-curl-side.mp4#t=0.1",Novice,Pull,Overhand: Pronated,Isolation,1. Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists. | 2. Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.
Biceps,Barbell Reverse Curl,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-reverse-curl-side.mp4#t=0.1",Advanced,Pull,Overhand: Pronated,Isolation,1. Take a double overhand grip that's about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out. | 2. Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.
Biceps,Dumbbell Incline Hammer Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-hammer-curl-side.mp4#t=0.1",Novice,Pull,Neutral,Isolation,1. Hold the dumbbells with a neutral grip (thumbs facing the ceiling). Seated on an incline bench. | 2. Slowly lift the dumbbell up to chest height | 3. Return to starting position and repeat.
Biceps,Dumbbell Incline Reverse Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-side.mp4#t=0.1",Novice,Pull,Overhand: Pronated,Isolation,1. Lay on an incline bench. | 2. Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists. | 3. Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.
Biceps,Dumbbell Incline Zottman Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-side.mp4#t=0.1",Intermediate,Pull,Rotating: Hands Rotate,Isolation,"1. Lay on an incline bench with your palms facing forward. | 2. Flex at the elbows until your forearms touch your biceps. | 3. When you hit the top of the movement, rotate your palms and then lower the dumbbells slowly."
Biceps,Dumbbell Single Arm Preacher Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-preacher-curl-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-preacher-curl-front.mp4#t=0.1",Novice,Pull,Underhand: Supinated,Isolation,"1. Start with a with a dumbbell in one hand and your elbow resting on the bench. | 2. From this starting position, curl the dumbbell up towards your shoulder, keeping your upper arm stationary on the bench."
Biceps,Dumbbell Single Arm Spider Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-single-arm-spider-curl-side.mp4#t=0.1",Beginner,Pull,Underhand: Supinated,Isolation,1. Lay on an incline or preacher curl bench. | 2. Let your arms hang freely off the edge of the bench. | 3. Fully flex your elbow and fully extend your elbow on each rep.
Biceps,Dumbbell Spider Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-spider-curl-side.mp4#t=0.1",Beginner,Pull,Underhand: Supinated,Isolation,"1. Start by placing your forearms on a flat bench and holding a dumbbell in each hand. | 2. From this starting position, curl the dumbbells up towards your shoulders, keeping your elbows close to your body and your core engaged. | 3. Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions."
Biceps,Dumbbell Twisting Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-twisting-curl-side.mp4#t=0.1",Novice,Pull,Rotating: Hands Rotate,Isolation,"1. Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand. | 2. Bring the dumbbells to your sides, with your palms facing inward and your elbows bent. | 3. From this starting position, curl the dumbbells up towards your shoulders while rotating your wrists so that your palms face your shoulders at the top of the movement."
Biceps,Plate Bicep Curl,Plate,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-bicep-curl-side.mp4#t=0.1",Novice,Pull,Neutral,Isolation,
Biceps,Plate Curl To Overhead Press,Plate,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-front_kQDPle2.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-side.mp4#t=0.1",Intermediate,Push,Neutral,Compound,"1. Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward. | 2. Curl the plate up to the front of the shoulder while keeping the elbows close to the body. | 3. Rotate the palms to face forward and press the plate overhead, locking out the arms. | 4. Lower the plate back to the starting position, keeping control of it, and repeat for desired reps."
Biceps,Plate Curl To Overhead Press To Tricep Extension,Plate,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-front_LMFCnKf.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curl-to-overhead-press-to-tricep-extension-side_ax0yvwM.mp4#t=0.1",Advanced,Push,Neutral,Compound,"1. Stand with feet shoulder-width apart and the plate in front of the torso, palms facing forward. | 2. Curl the plate up to the front of the shoulder while keeping the elbows close to the body. | 3. Rotate the palms to face forward and press the plate overhead, locking out the arms. | 4. Lower the plate back behind the head to the starting position of a tricep extension. | 5. Push the plate back up overhead, then lower it back to the starting position and repeat for desired reps."
Biceps,Plate Squat Hold Curl,Plate,"https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-hold-curl-side.mp4#t=0.1",Intermediate,Pull,Neutral,Compound,"1. Lower into a squat position, keeping the plate at chest height. | 2. Slowly curl the plate towards your shoulders, keeping your elbows close to your body. | 3. Hold for a moment at the top of the curl before lowering the plate back to chest height. | 4. Repeat the curls as you hold the squat position."
Biceps,Band High Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-curl-side.mp4#t=0.1",Novice,Pull,Underhand: Supinated,Isolation,1. Anchor a band to a high point. | 2. Start with your feet staggered and your elbows high. | 3. Flex your elbows while keeping your arms high. Curl the band to your forehead.
Biceps,Band High Hammer Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-hammer-curl-side.mp4#t=0.1",Novice,Pull,Neutral,Isolation,1. Start with the band anchored to something high with your feet staggered and a neutral grip. | 2. Keep your elbows high. Curl until your fists are at your forehead.
Biceps,Band High Reverse Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-high-reverse-curl-side.mp4#t=0.1",Novice,Pull,Overhand: Pronated,Isolation,"1. Start with a band attached to a high point, your feet staggered, and an overhand grip. | 2. Flex your elbows pulling your forearms to your biceps. Your fists should land by your forehead."
Biceps,Band Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-front_1YwVVEx.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-curl-side_qegXZDv.mp4#t=0.1",Novice,Pull,Underhand: Supinated,Isolation,"1. Stand with your feet shoulder-width apart, with the band under both feet. | 2. Grasp the handles of the band with both hands, keeping your arms straight and extended in front of you. | 3. Keep your back straight, abs engaged, and shoulders relaxed as you curl your hands towards your shoulders, bending at the elbows."
Biceps,Band Reverse Curl,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-front_iQSuy66.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-reverse-curl-side_Cez320W.mp4#t=0.1",Novice,Pull,Overhand: Pronated,Isolation,"1. Start by standing on the center of the band with both feet, shoulder-width apart. | 2. Hold the band with both hands, palms facing down, arms extended straight in front of you. | 3. Slowly curl your hands towards your shoulders, pulling the band tight, then lower your arms back to the starting position, keeping tension on the band throughout the exercise."
Biceps,Dumbbell Concentration Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-concentration-curl-side.mp4#t=0.1",Beginner,Pull,Underhand: Supinated,Isolation,1. Sit on a flat bench with your feet flat on the floor and your back straight. | 2. Lean forward and place your elbow on the inside of your leg. | 3. Curl the dumbbell while keeping your elbow against your leg. Make sure to fully extend your elbow on each rep.
Biceps,TRX Curl,TRX,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-curl-side.mp4#t=0.1",Beginner,Pull,Underhand: Supinated,Isolation,1. Hold the TRX straps with an underhand grip and lean back and away from the anchor point. | 2. Keep your elbows high as you flex your elbows. Pull your fists toward your forehead.
Biceps,TRX Hammer Curl,TRX,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-hammer-curl-front.mp4#t=0.1",Beginner,Pull,,Isolation,1. Grab the TRX straps and lean away from the anchor point. | 2. Maintain a neutral grip. Flex your elbows and pull your fists to either sides of your temples.
Biceps,TRX Reverse Curl,TRX,"https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-trx-reverse-curl-side.mp4#t=0.1",Intermediate,Pull,Overhand: Pronated,Isolation,"1. Stand facing the TRX straps and grasp the handles with both hands, palms facing away from your body. | 2. Walk back until the straps are taut, keeping your arms straight. | 3. Slowly curl your hands towards your shoulders, keeping your elbows close to your body."
Biceps,Barbell Landmine Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-landmine-row-side.mp4#t=0.1",Intermediate,Pull,Overhand: Pronated,Compound,"1. Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart. | 2. Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed. | 3. Bend at the hips and knees to lower your torso until it is almost parallel to the ground. | 4. Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up."
Biceps,Chin Ups,Bodyweight,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-chinup-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-chinup-side.mp4#t=0.1",Intermediate,Pull,Underhand: Supinated,Compound,"1. Grab the bar shoulder width apart with a supinated grip (palms facing you) | 2. With your body hanging and arms fully extended, pull yourself up until your chin is past the bar. | 3. Slowly return to starting position. Repeat."
Biceps,Band Kneeling Single Arm Pulldown,Band,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-kneeling-single-arm-pulldown-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-kneeling-single-arm-pulldown-side.mp4#t=0.1",Novice,Pull,Neutral,Compound,1. Place the band at about eye level. Fall into a kneeling position. | 2. The knee that is on the ground should be the same side as the working arm. Stick your chest out. | 3. And then pull your elbow straight back. Flex your lats and then extend into the starting position.
Biceps,Barbell Long Landmine Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-long-landmine-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-long-landmine-row-side.mp4#t=0.1",Advanced,Pull,Neutral,Compound,"1. Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart. | 2. Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed. | 3. Bend at the hips and knees to lower your torso until it is almost parallel to the ground. | 4. Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up."
Biceps,Barbell Meadows Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-meadows-row-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-meadows-row-front.mp4#t=0.1",Intermediate,Pull,Overhand: Pronated,Compound,"1. Position a barbell in a landmine or corner of a room and stand facing sideways with a staggered stance and your feet shoulder-width apart. | 2. Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed. | 3. Bend at the hips and knees to lower your torso until it is almost parallel to the ground. | 4. Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up. | 5. *Named after the late John Meadows"
Biceps,Barbell Pronated Pendlay Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pronated-pendlay-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pronated-pendlay-row-side.mp4#t=0.1",Advanced,Pull,Overhand: Pronated,Compound,1. Start hinged forward with a flat back and the plates resting on the floor. Make sure your elbows are fully extended. | 2. Pull the bar to your sternum. | 3. Return the plates back to the floor and let the bar come to a full dead stop. | 4. Then initiate the next rep.
Biceps,Barbell Pronated Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pronated-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pronated-row-side.mp4#t=0.1",Intermediate,Pull,Overhand: Pronated,Compound,1. Grab the barbell with an overhand grip. Hinge forward while keeping your back flat until your torso is about parallel with the ground. | 2. Let your arms hang freely. | 3. Pull the bar to your torso while tucking your elbows in slightly. | 4. Extend your elbows fully before initiating the next rep.
Biceps,Barbell Supinated Pendlay Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-supinated-pendlay-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-supinated-pendlay-row-side.mp4#t=0.1",Advanced,Pull,Underhand: Supinated,Compound,"1. Begin by standing in front of a barbell with your feet about hip-width apart and your palms facing towards your body. | 2. Bend at the hips and knees to grab the barbell with a pronated (overhand) grip, positioning the barbell about an inch away from your shins. | 3. Keeping your back straight and your core engaged, use your back muscles to lift the barbell straight up towards your chest. | 4. As the barbell reaches your chest, rotate your wrists so that your palms are facing towards your body (supinated grip), and then lower the barbell back to the starting position."
Biceps,Barbell Supinated Row,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-supinated-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-supinated-row-side.mp4#t=0.1",Advanced,Pull,Underhand: Supinated,Compound,"1. Begin by standing in front of a barbell with your feet about hip-width apart. | 2. Bend at the hips and knees to grab the barbell with a supinated (underhand) grip, positioning the barbell about an inch away from your shins. | 3. Keeping your back straight and your core engaged, use your back muscles to lift the barbell straight up towards your chest. | 4. As the barbell reaches your chest, pause briefly, and then lower the barbell back to the starting position."
Biceps,Dumbbell Alternating Pendlay Row,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-alternating-pendlay-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-alternating-pendlay-row-side.mp4#t=0.1",Advanced,Pull,Neutral,Compound,1. The dumbbells should be set on the ground. Hinge forward while keeping a flat back. | 2. Pull one elbow back toward the ceiling and then return the dumbbell to the ground softly. | 3. Then pull with the other arm.
Biceps,Dumbbell Kneeling Single Arm Row,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-kneeling-single-arm-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-kneeling-single-arm-row-side.mp4#t=0.1",Novice,Pull,Neutral,Compound,1. Place one hand and one knee on a bench. Make sure you keep a flat back. | 2. Pull the dumbbell toward the ceiling. | 3. Make sure to avoid any jerking or rotating.
Biceps,Dumbbell Laying Incline Row,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-laying-incline-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-laying-incline-row-side.mp4#t=0.1",Novice,Pull,Neutral,Compound,1. Lay on an incline bench that is between 30-45 degrees high. | 2. Let your arms hang freely. Pull your elbows straight back toward the ceiling.
Biceps,Dumbbell Pendlay Row,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-pendlay-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-pendlay-row-side.mp4#t=0.1",Intermediate,Pull,Neutral,Compound,1. The dumbbells should be placed on the floor. | 2. Hinge forward with a flat back and grab the dumbbells. | 3. Pull both dumbbells back and your elbows toward the ceiling. | 4. Return the dumbbells back to the floor softly on each rep.
Biceps,Dumbbell Single Arm Row,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-row-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-row-side.mp4#t=0.1",Novice,Pull,Neutral,Compound,"1. Start by standing in front of a flat bench with your feet shoulder-width apart and holding a dumbbell in one hand. | 2. Place your other hand on the bench for support, and bend at the waist so that your chest is parallel to the ground. | 3. From this starting position, row the dumbbell up towards your chest, squeezing your shoulder blade together as you do so. | 4. Make sure to keep your elbow close to your body and your core engaged throughout the movement."
Biceps,Dumbbell Single Arm Row Knee,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-row-knee-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-single-arm-row-knee-side.mp4#t=0.1",Novice,Pull,Neutral,Compound,"1. Start by placing your elbow on one knee. | 2. Hold a dumbbell in your other hand, with your palm facing inwards towards your body. | 3. From this starting position, row the dumbbell up towards your chest, keeping your elbow close to your body and your core engaged."
